Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
2QD_piybnbU,Dryer Not Heating Up – Solved!,"Apr 11, 2022",2804,25078,2022.0963,55,261.27,109630,2.9
182m2cSyuUs,Working with Matrices in Mathematica,"Oct 3, 2018",1762,54185,4300.0187,394,251.522,504776,6.15
TuucPiJhEDY,"Unlocking, Starting, and Driving a Nissan Leaf with a Dead Key Fob Battery","Dec 31, 2018",317,31672,1238.7569,69,248.473,164054,4.64
GJBc6z6p0KQ,Euler Angles and the Euler Rotation Sequence,"Apr 1, 2020",4252,53431,6686.1623,699,228.214,677557,3.87
9WnbPodUZEc,The DeWALT DCV517B Battery Powered Vacuum,"Dec 14, 2020",737,32635,2021.0271,64,218.007,242179,5.42
7y8IdKmfqeU,"Haul-Master Folding Cargo Carrier: Unboxing, Assembly, and First Impressions","Oct 15, 2019",709,17573,1073.569,30,216.235,193692,4.28
uWQKSIuYAko,Create an Automatic Bibliography in Microsoft Word,"Sep 5, 2018",1693,56238,4245.159,221,216.159,417322,5.58
RPzFLzKkQGs,Using the Control System Designer in Matlab,"May 18, 2019",3184,61460,7125.1314,895,215.315,861328,3.55
0wuU-7BmtVE,Blender for Video Editing: Video Transitions,"Jun 6, 2020",714,55042,3066.5157,330,212.155,485167,4.7
FLQXW6G9P8I,"Cartesian, Polar, Cylindrical, and Spherical Coordinates","Oct 21, 2019",3251,57665,5276.233,849,211.439,666851,4.8
f7nODvpmCHw,3D Printing Using Fusion 360 and Cura,"Dec 31, 2019",268,47191,1458.1185,280,207.998,268327,8.18
rVKB7NFp1Qs,Stand Mixer Won’t Turn – Solved!,"Jan 23, 2023",956,31568,1113.5764,47,205.898,116250,5.35
qCgqYNhmmDE,Getting Started with LaTeX,"Sep 17, 2018",1671,59319,5025.4568,276,200.133,947130,3.61
8NQ1h0gGgX8,Getting Started with the Matlab Support Package for Arduino Hardware,"Sep 20, 2018",1074,86865,4908.3936,539,200.02,700544,7.26
1zIIcYfp5QA,Introduction to Full State Feedback Control,"May 27, 2019",3771,39528,5586.991,688,197.036,528784,3.38
1inMVOvSUPE,Replacing the Key Fob Battery on a Nissan Leaf,"Dec 30, 2018",353,16491,797.9895,30,192.271,93784,2.57
Gzlk6MKGHrg,"Using Blender to Add Images, Text, and Sounds to Video Clips","Feb 1, 2020",902,53829,3941.5881,593,191.675,703433,4.09
WLPvCefp6Qo,Getting Started with Simulink,"Sep 28, 2018",1743,31944,3470.939,330,189.539,586892,2.99
c3bRUDvLTS4,How to Remove the Cap on a Swiffer Wet Jet Bottle,"Jan 29, 2024",246,45077,1216.3992,40,179.933,57206,1.83
_M0mOHn0ink,Getting Started with Matlab,"Sep 13, 2018",1748,54133,3815.5271,681,176.713,389599,3.59
bFFAL9lI2IQ,"A Nonlinear, 6 DOF Dynamic Model of an Aircraft: The Research Civil Aircraft Model (RCAM)","Apr 26, 2020",6213,45840,6367.7754,556,176.6,414739,5.06
plOAUG7BR4o,Getting Started with APRS and Direwolf,"May 2, 2022",2160,32062,3367.8803,318,170.206,375902,4.61
a4f6P70pBuA,Adding Shore Power to a Ford Transit Van Conversion,"Oct 19, 2019",635,19891,1214.5979,156,167.2,206852,3.56
9gRTenEbwSk,Chef’s Choice Model 15XV Electric Knife Sharpener: a Review with Quantitative Data,"Mar 11, 2024",1154,17776,1555.0657,48,165.096,146991,5.76
ZSNl5crAvsw,Numerically Solving Partial Differential Equations,"Nov 10, 2019",6077,33044,3963.0586,547,162.546,403742,4.14
nOz3uTi20Jo,Getting Started with the Simulink Support Package for Arduino Hardware,"Sep 25, 2018",1378,84414,5433.7515,552,162.451,771985,6.17
dHMXgDzV1Hc,Deleting a Perforce Workspace,"Nov 21, 2018",872,25088,2247.3849,61,156.533,296175,3.92
b1uIEnjqcZM,How to Replace a Dryer Thermal Fuse,"Dec 25, 2023",548,20864,666.6725,46,154.216,33395,2.48
ULsGLJbmPaY,Disconnecting the Rear Cargo Light on a Ford Transit,"Nov 16, 2020",284,24416,616.9634,46,153.441,167177,3.93
5xCwI_V9VSI,Tune an Antenna Using a NanoVNA,"Apr 25, 2022",1295,23093,2075.4262,168,150.215,285935,4.35
cw7adeD1yeg,Installing Mission Planner,"Sep 2, 2018",507,71708,2570.0567,357,139.098,246822,9.01
s_ehZc5N7Lg,3D Plotting in Mathematica,"Oct 24, 2018",992,41540,1828.6609,241,131.194,330062,6.1
pXvAh1IOO4U,State Space Representation of Differential Equations,"Oct 19, 2020",4165,34056,3166.9747,297,130.694,298750,4.33
L-J889bgO_8,An Electric Wood Chipper and Shredder: The Earthwise GS70015,"Jul 4, 2022",1405,18659,1621.3211,63,130.608,205640,4.75
I3jiMhVGmcg,Solving the 1D Heat Equation,"Nov 16, 2018",2844,27485,2007.0647,179,127.216,261978,4.46
Whp6jolTu34,Solving the 2D Wave Equation,"Nov 19, 2018",4395,27847,2407.4317,214,126.733,263700,4.69
nIT94ECUvzU,How to Start a 1978 Peugeot 103 Moped,"Aug 23, 2021",237,29957,919.1706,48,122.632,268070,6.9
M6FQfLmir0I,Linearizing a Simulink Model Using the Linear Analysis Tool and ‘linmod’,"Jun 1, 2019",3314,37963,2535.0439,258,120.709,354915,4.08
lBXdFu6Rwn4,Introduction to Optimization,"Sep 7, 2021",3471,31428,2842.4515,634,119.914,519184,2.34
PnNAlRYprzA,Plywood: a Surprisingly Fast Way to Shovel Snow,"Feb 15, 2021",333,28284,860.0294,30,119.499,209179,7.22
G2Gydmk5njM,Removing the Rear Door Paneling on a Ford Transit,"Aug 17, 2020",460,18855,641.1247,81,118.677,179047,3.3
l-sxhe69dg8,The Fezibo L-Shaped Triple Motor Standing Desk,"Jun 12, 2023",2105,9201,536.2897,12,118.465,78844,4.02
gA-KOk3SAb0,Understanding and Sketching the Root Locus,"May 7, 2019",10599,36665,9905.0927,287,117.358,516034,3.32
cBMgRWOzLnw,Bode Plots of Complex Transfer Functions,"Apr 29, 2019",3918,21188,1918.4339,147,117.096,296916,3.17
QWCLthgJEbc,"Deriving Percent Overshoot, Settling Time, and Other Performance Metrics","Nov 20, 2018",3554,24169,2246.1687,139,115.553,309198,2.82
yr6om0e0oAQ,Practical Implementation Issues with a PID Controller,"May 17, 2021",7980,29748,6097.5964,405,112.937,423866,3.71
yI7UX76tLeY,Introduction to Ordinary Differential Equations,"Oct 6, 2020",2129,26636,2476.1302,456,109.851,248026,3.82
98Mfe-Vfgo0,Computing Euler Angles: Tracking Attitude Using Quaternions,"Apr 11, 2020",4494,27052,3684.4357,368,103.589,404159,3.48
evVi_D7C6mA,Bandwidth of a Dynamic System,"May 12, 2019",1859,19374,2330.935,394,101.829,344241,2.79
oQDi3Giv-DI,Controllability of a Linear System: The Controllability Matrix and the PBH Test,"May 27, 2019",5841,17385,3195.22,224,100.037,323035,2.61
QWb9sq35cNk,The Routh-Hurwitz Stability Criterion,"May 11, 2019",4946,19754,2078.3402,130,97.627,305102,2.64
oo7CcX6mUoM,Permanently Installing an Automatic Battery Float Charger on a Car,"Jul 6, 2020",310,14717,544.1593,30,97.468,105783,3.09
kypswO4RLkk,Trimming a Simulink Model Using the Linear Analysis Tool,"May 31, 2019",4125,21605,2724.1839,140,95.832,344988,2.7
c0Lv-mJ_65o,Wind Tunnel Testing: Introduction and Data Acquisition,"Jan 18, 2021",1689,17941,1338.1647,222,91.649,278457,3.22
RTEpONXUJyE,Converting Constrained Optimization to Unconstrained Optimization Using the Penalty Method,"May 9, 2020",3283,19916,2109.22,272,91.582,241622,3.91
12XRTUqG94Y,How to Install the MinGW-w64 Compiler in Matlab,"Oct 7, 2018",738,45214,2507.6579,139,91.198,311116,5.25
HAEBJ3z42Wg,"Van Ladder by Prime Designs: Unboxing, Installation, and First Impressions","Oct 29, 2019",1031,9934,857.5718,94,90.536,137230,3.79
1VmeijdM1qs,Numerically Linearizing a Dynamic System,"May 21, 2020",6285,21170,3025.802,110,90.398,345106,3.14
_upZ13VVSkE,"Vivo/EleTab Manual Crank Standing Desk: Unboxing, Assembly, and First Impressions","Dec 15, 2019",653,9423,399.0476,21,88.065,127815,4.71
VMd-z3qBQsI,Using ‘fminsearch’ to Minimize a Function Specified by a File with Extra Parameters,"May 4, 2020",1557,16401,1109.3921,70,84.936,178318,3.57
FGe5N4HPQMI,Blender for Video Editing: Picture-in-Picture (PiP),"Apr 6, 2020",704,22429,1267.0035,184,84.674,320109,3.54
WEYX-wa9csU,"Complex Numbers, Complex Variables, and Complex Functions","Oct 4, 2019",3266,14684,1537.1506,237,84.305,176172,4.31
6NB4QiKId2w,Unconstrained Optimization,"Sep 13, 2021",4158,15420,1730.1363,167,83.954,216273,4.06
pv4tvwghGCQ,Creating and Initializing a New Perforce Depot,"Jun 12, 2019",434,22591,1049.9864,54,82.182,126848,6.13
OPqXHxd9djc,Using a Drone to Hang Holiday Lights in a 130’ Tall Tree,"Dec 12, 2018",1019,8520,553.3892,18,81.471,73907,2.84
ixsRJPlO_rc,Derivation of the Heat Equation,"Nov 13, 2018",1917,25072,1748.245,201,81.397,247991,5.39
im19KuzjWwo,Using ‘rlocus’ in Matlab to Plot the Root Locus,"May 7, 2019",1185,34617,1744.9002,150,80.944,340302,2.92
sgTt7v4LYfE,DC Gain,"Apr 13, 2019",1470,19080,1501.9806,179,80.695,310474,2.69
Fh3nMi87cB8,Derivation of Rodrigues’ Rotation Formula,"Dec 24, 2018",2596,19486,2294.3809,171,80.042,272378,3.22
5FmXwsrHmpA,Time Domain Analysis: Performance Metrics for a First Order System,"Apr 15, 2019",4682,12367,2192.5201,55,79.478,310993,2.23
uTabQKD2WMs,Velocity & Acceleration in Non-Inertial Reference Frames (Coriolis & Centrifugal Acceleration),"Jan 10, 2019",8038,22148,4032.8713,248,78.966,336482,2.57
NF_Q282V_uo,Blender for Video Editing: Privacy Blur Using Masking,"Aug 10, 2020",1282,18591,1668.6556,109,78.542,214417,4.03
4BJ-GpYbZlU,Geodetic Coordinates: Computing Latitude and Longitude,"Jun 1, 2020",1889,20992,1745.2301,275,77.613,267054,4.51
m5huqed5uNc,Modifying a Perforce Workspace,"Dec 22, 2017",161,20571,526.2072,29,77.375,195278,5.78
KAS7JBztw8E,Derivation of the 2D Wave Equation,"Nov 17, 2018",1635,25028,1947.8742,286,77.065,282532,4.49
FgF-QfbP7zc,Final Value Theorem,"Apr 14, 2019",1993,13746,1433.9712,93,76.509,333628,2.1
9GZjtfYOXao,Computing Euler Angles: The Euler Kinematical Equations and Poisson’s Kinematical Equations,"Apr 6, 2020",4796,17657,3137.6008,135,76.237,295164,2.78
GCESkCyZt4g,Derivation and Solution of Laplace’s Equation,"Nov 16, 2018",2020,28420,1457.3379,231,75.873,231099,6.06
zIAD8V4KqXU,Diamond Pattern Snow Chains – They’re So Easy!,"Dec 28, 2020",1512,7871,787.6133,28,75.056,122503,2.86
9vCTokJ5RQ8,Practical Implementation Issues with a Full State Feedback Controller,"Nov 30, 2018",3820,20497,3010.8338,220,74.59,387292,2.65
eJMf9CYHr6c,Standard 2nd Order ODEs: Natural Frequency and Damping Ratio,"Oct 12, 2020",5688,14818,1135.62,82,74.316,125306,2.41
0tbr4OIufK8,Relationship Between Poles and Performance of a Dynamic System,"Nov 20, 2018",2609,12111,1597.9413,93,70.431,256308,2.47
o4Y8KvGEvo0,DIY Overhead Garage Storage with Raising & Lowering Shelves,"Feb 8, 2021",931,7696,287.3751,11,70.409,101517,2.56
S03e6dwM100,Creating Movies and Animations in Mathematica,"Nov 8, 2018",1661,25546,2072.5368,243,69.854,314463,4.1
KX7GNqy3k7w,Introduction to Bode Plots,"Apr 24, 2019",2554,18277,2191.5763,157,69.396,318133,3.07
5L-w143fEQA,Blender for Video Editing: Introduction to Keyframes,"Jun 30, 2020",1327,25974,2182.004,202,68.502,335368,3.31
JO6Tai2qyec,The POC Tectal Race Spin Helmet,"Jun 28, 2021",1977,14152,943.8934,17,68.063,125787,6.21
nZ6LcTjtCbs,Monitor Won’t Turn On – Solved!,"Jan 15, 2024",715,14908,352.1789,19,67.624,28690,1.16
faM4tTh1JEc,Replacing the Starter Battery and Installing a Battery Monitor and Charger on a Ford Transit,"Oct 26, 2020",1319,8322,611.8215,55,66.594,132949,3.01
YzZI1V2mJw8,Trimming a Model of a Dynamic System Using Numerical Optimization,"May 13, 2020",3644,19548,2335.7977,128,66.253,243108,3.97
q0nX8uIFZ_k,The Laplace Transform,"Oct 1, 2019",6922,9789,2167.164,84,65.363,130671,3.38
RG_tdz1VzwY,Transfer Function to State Space,"Apr 19, 2021",3413,19557,1147.6409,164,64.483,194395,3.6
XQZV-YZ7asE,"The Navigation Equations: Computing Position North, East, and Down","Jun 1, 2020",3098,13339,1208.0074,112,63.262,166655,3.85
RCY-O27TxlA,Installing a Locking Mailbox,"Mar 7, 2022",885,6626,437.2152,18,62.685,102906,2.44
7JUltep9ciA,Install a Refrigerator in the Garage,"Jul 12, 2021",854,6532,290.8123,0,62.017,81361,4.32
6FZ6sIZSYrc,Wind Tunnel Corrections and Data Reduction,"Jan 28, 2021",10311,11021,2232.8926,84,60.122,155309,3.06
vAeg0CwFRzc,DIY Giant Shooting Star Holiday Light,"Nov 28, 2018",785,7690,235.8053,17,60.116,88585,3.2
opMKp3WmQ7w,A Cheap and Easy Way to Laminate Things,"Jan 11, 2021",510,13006,474.7511,27,60.028,121256,3.87
 -l7e6mcQrp4,Creating and Cloning a Git Repository,"Apr 29, 2018",669,11297,549.7229,30,58.761,67628,3.84
9FoJLCuJSQ0,Charging DJI Controllers and Batteries,"May 30, 2022",442,15200,561.8567,15,58.744,45904,1.69
4QrfF-SgA7U,Braun 5000 Lumen 4 ft LED Hanging Shop Light from Harbor Freight,"Jun 7, 2021",860,6105,337.2493,12,58.266,65170,2.64
kbV9LdQXVtg,The Taylor Series,"Dec 7, 2020",5089,8249,1309.7792,66,58.063,147455,2.72
fAZZJgm096w,"Simple Vector Mechanics: Inner Product, Scalar/Vector Projection, and Cross Product","Jan 4, 2021",3069,20221,1273.8721,168,57.936,167834,2.24
wvRlvDYDIgw,Similarity Transformation and Diagonalization,"Dec 13, 2021",3567,13500,1056.6225,94,57.241,151243,3.95
GLTenrOMBz8,Replace the Line on a DeWalt String Trimmer,"Jun 10, 2024",603,11128,555.7055,9,56.696,23460,0.84
R1XY9DLIpzQ,"The Creality CR-10 Mini 3D Printer: Unboxing, Assembly, and Review","Jan 31, 2020",1965,5216,676.0723,53,55.774,83252,3.05
rNYHww84juM,Using Root Locus to Meet Performance Requirements,"Nov 21, 2018",1718,16382,1355.4294,111,55.46,284615,3.04
NmMU7Hh6yos,Unmanned Aerial System (UAS) Ground Control Station (GCS) in a Pelican Case,"Sep 6, 2018",576,24187,731.6458,137,55.047,201707,7.31
4kaK569ug9Q,Angle of Attack/Sideslip and the Stability/Wind Axes,"Nov 22, 2021",2779,10508,1040.7129,131,54.965,164878,2.67
LftL6dA6tzE,Using a Homogeneous Transformation Matrix to Combine Rotation and Translation,"Apr 19, 2020",3828,12235,1142.9504,88,54.686,189183,2.41
MvoQ3K-EMEI,DIY Open Fire Cooking Tripod,"May 24, 2021",1216,11886,725.5851,30,54.531,139377,3.64
nidkPN12M4I,Making a Filament Dryer for 3D Printing for Only $40,"May 3, 2021",999,11582,666.2214,30,54.14,80750,3.31
f8tdTiuj5lo,Visualizing the State of a Simulink Aircraft Model Using FlightGear,"May 30, 2020",2077,26959,1662.7168,252,53.533,325164,4.56
FUitbiQ2XG4,Visualizing the State of an Aircraft Using Simulink 3D Animation,"May 27, 2020",1047,26129,1123.3564,165,52.633,283383,4.64
Uz3B9fVb4LQ,Numerical Optimization Algorithms: Step Size Via the Armijo Rule,"Nov 1, 2021",4603,10442,1075.9708,139,52.615,158986,3
JZlqctmQ7is,"Aircraft Longitudinal & Lateral/Directional Models & Modes (Phugoid, Short Period, Dutch Roll, etc.)","Feb 14, 2022",4299,17636,1582.3574,284,52.298,221439,3.84
LQf2Vd-frsA,Using ‘minreal’ in Matlab to Perform Transfer Function Pole/Zero Cancellation,"May 11, 2019",1128,13640,901.9794,97,51.993,394618,1.75
lMGJFixkj0o,Swivel Mount for Peloton Bike: Save Yourself $1000,"Dec 6, 2021",815,3109,176.0359,1,50.514,47659,2.52
UWrkh_N1bfE,The 4 Quadrant Inverse Tangent (atan2) and Other Inverse Trigonometric Functions,"Sep 7, 2020",1366,12278,1010.8124,121,50.248,191950,2.37
NNJ0sUmrKu8,State Space to Transfer Function,"Apr 12, 2021",2927,16997,1049.1012,161,48.841,176049,3.6
aoFakXGYOH0,Understanding and Sketching Individual Bode Plot Components,"Apr 25, 2019",8893,13932,3225.4824,71,48.652,274390,2.38
E7JSeQEjvnY,A Comprehensive Guide to Launching a High-Altitude Balloon,"Feb 6, 2023",8528,6654,908.6369,83,48.418,84331,2.46
 -OyRCgv-hPs,Vector Derivatives (the Equation of Coriolis) and the Angular Velocity Vector,"Dec 25, 2018",4342,14913,2724.3914,138,48.038,274409,2.64
QexBVGVM690,The Jacobian Matrix,"Feb 5, 2024",2421,19209,1866.3148,556,47.7,283301,4
Celxv69ycIA,"Getting Started with Arduino:  IDE Installation, Setup, and Getting Connected","Sep 19, 2018",1306,14915,872.2233,61,46.367,77818,3.67
0ZUp07xP--A,Resonant Frequency of a Dynamic System,"Apr 24, 2019",1793,11359,1028.67,71,45.77,241228,2.3
f6DW3LKs89k,The Best Whiteboard Eraser,"Oct 7, 2019",235,14869,360.8397,34,45.752,201267,3.97
JhwYe7kOJPI,The Flat Earth Equations of Motion,"Apr 18, 2022",6154,7580,1316.4182,28,43.061,118304,3.25
rw7s84oixl0,Blender for Video Editing: Working with Landscape and Portrait Movies,"Jun 18, 2020",675,14258,833.3626,83,42.167,198424,3.17
P5fcgnaYIeQ,Time Domain Analysis with Matlab: Using the Linear System Analyzer,"Apr 17, 2019",2278,12644,986.1627,88,41.719,276479,2.44
37CP43OogQI,Customizing ArduPlane Firmware: Obtaining and Setting Up the Codebase,"Apr 23, 2018",1975,21994,1661.0032,263,41.263,177557,6.26
i2fmaabIs5w,Introduction to Neural Networks,"May 30, 2023",4151,5203,565.9072,61,41.22,89221,2.46
R8qeOBHKFFA,Comica CVM-WS50 Unboxing and Setup: A Wireless Lavalier Microphone for Smartphones,"Nov 3, 2018",974,3610,272.5085,11,39.942,49835,3.24
4TGqICzM5XM,Using a Joystick to Interact with a Simulink Model,"May 24, 2020",882,17118,891.5675,126,39.398,221101,3.39
YjvinBJUzIo,The DeWALT DCMW220X2C 20” Battery Powered Lawn Mower,"Mar 14, 2022",1396,4770,330.6131,4,39.195,79798,2.68
09L3nhjNhjg,Getting Started with PinPoint APRS,"May 9, 2022",988,8327,713.8128,103,39.095,122216,3.21
Mv6aUQkK59s,Manipulating Aerodynamic Coefficients,"Apr 21, 2020",1533,8361,641.2517,98,38.464,151287,3.21
Nt4Ab2YdiLA,Wind Tunnel Data Analysis and Testing Considerations,"Feb 2, 2021",6720,5683,717.1281,36,36.842,126160,1.93
PmbzzdrJIMU,Embedding vs Linking to Movies in PowerPoint,"Jan 6, 2018",886,2745,179.9127,33,36.397,20900,2.78
qcFdpBi5i38,Numerical Optimization Algorithms:  Gradient Descent,"Sep 27, 2021",2291,8554,867.9924,96,36.379,180497,2.41
aP5E3TH7DW0,"Insta360 ONE X Unboxing, Setup, and Getting Started","May 15, 2019",2849,3869,546.1743,31,36.077,72394,2.25
ur7z_sOD3WI,DIY Rooftop Kayak Carrier,"Aug 31, 2020",639,5440,212.6194,14,35.406,93836,1.94
