Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
66Up4bJpR80,Clock Frozen and Cannot Set Time on a Ford Vehicle,"Nov 18, 2019",50548,1429.1255,93,457.915,184455,4.09
mXFDAz3S9Uk,Getting Started with Mathematica,"Sep 28, 2018",133027,13356.2314,1168,408.065,1539418,5.06
XsaSySuIDOw,Programming and Deleting Channels on a Baofeng BF-F8HP Radio,"Feb 8, 2020",47290,2725.9297,316,373.593,311650,3.47
3I1_5M7Okqo,Creating Movies and Animations in Matlab,"Nov 5, 2018",114799,8624.4574,1275,370.153,1418245,4.42
pZv3oTVQPf4,Dishwasher Detergent Door Opens But Detergent Is Still There – Solved!,"Aug 7, 2023",52784,2226.2574,49,367.535,182374,7.55
of8Gc_mE3ic,"DIY Roof Rack: Design, Construction, and Field Testing","Jan 30, 2020",44193,4990.8115,330,357.319,618898,3.47
_5_LK_0H22I,Basic Operations with Perforce,"Dec 22, 2017",82671,7025.0636,180,354.504,594907,7.93
lMRnTd8yLeY,Solving the 1D Wave Equation,"Nov 13, 2018",63923,10643.6181,640,350.722,821860,3.94
Cvu2zWk3gYw,Ordinary Differential Equations and Dynamic Systems in Simulink,"Oct 1, 2018",77976,7393.3505,773,330.935,1096253,3.9
0boqFrP2aus,Dryer Stuck With 1 Minute Left – Solved!,"Aug 15, 2022",41386,1656.9307,115,326.825,168306,5.45
THjaxvPBGOU,Introduction to Partial Differential Equations,"Nov 11, 2018",70227,6511.877,1394,325.889,660731,5.01
_VzHpLjKeZ8,Introduction to PID Control,"May 1, 2023",61186,8018.8118,1593,313.556,1154368,3.24
1BfhVSW8UPM,Dryer Drum Not Turning – Solved!,"May 15, 2023",42737,1816.9503,79,296.038,66382,5.46
2KC_neRj4YE,Reverse/Switch a Refrigerator Door Direction,"Jun 21, 2021",29697,1924.4479,49,290.182,270492,5.97
BxgwtIDmbh8,Broken Zipper Bottom Pin – Solved!,"Feb 27, 2023",62713,1856.488,38,286.725,176128,8.69
g5EULqpJCQ8,"The RakAttach Swing-Away Hitch Mount:  Unboxing, Installation, and Review","Aug 24, 2020",27680,2749.2543,90,283.957,286413,4.36
Uh_-RZQIaEs,Transfer Functions: Introduction and Implementation,"Apr 8, 2019",79184,6401.879,1355,282.166,553367,3.74
IAut5Y-Ns7g,Derivation of the 1D Wave Equation,"Nov 12, 2018",85623,7412.7311,1358,277.308,829018,5.71
OE9Va_ky6yU,Block Diagram Algebra,"Apr 9, 2019",35911,5178.3092,358,271.951,509187,3.46
Mq2YggNeCLs,DIY Folding Hitch Bike Rack,"Nov 26, 2019",39388,1844.2179,68,271.801,519403,2.98
Hk6YBO_A_PU,Designing a PID Controller Using the Root Locus Method,"May 21, 2019",92751,11229.886,1261,269.985,1221577,3.62
Ak30ODrkyo8,Changing the Blade on a Makita LS1030 Miter Saw,"Oct 1, 2019",34138,1634.1222,61,268.043,257558,5.15
j-utznrXmcY,2D Plotting in Mathematica,"Oct 22, 2018",61053,3878.5515,362,266.507,544018,6.04
TODDZnOT3ro,Expressing Vectors in Different Frames Using Rotation Matrices,"Dec 27, 2018",33238,4060.5419,433,262.141,399688,3.02
AHj7PQ4SD3w,Ford Transit Headliner Removal,"Mar 18, 2020",36026,2057.1262,477,255.512,345128,4.32
Op-usMAGRAc,Turn Pictures Into CAD Models for Fusion 360,"Mar 29, 2021",41283,3534.5671,278,245.223,495858,4.02
TuucPiJhEDY,"Unlocking, Starting, and Driving a Nissan Leaf with a Dead Key Fob Battery","Dec 31, 2018",30581,1202.4217,65,239.757,160614,4.63
182m2cSyuUs,Working with Matrices in Mathematica,"Oct 3, 2018",51669,4116.3632,381,236.984,481072,6.19
cOlnF049wPA,One Earbud More Quiet Than the Other – Solved!,"Dec 12, 2022",44254,1462.6773,53,235.812,209852,6.82
m5sEln5bWuM,Building a Matlab/Simulink Model of an Aircraft: The Research Civil Aircraft Model (RCAM),"Apr 29, 2020",43735,3897.2208,461,233.136,394841,5.06
GJBc6z6p0KQ,Euler Angles and the Euler Rotation Sequence,"Apr 1, 2020",49712,6238.0968,658,216.72,632761,3.83
9WnbPodUZEc,The DeWALT DCV517B Battery Powered Vacuum,"Dec 14, 2020",31788,1972.5451,61,213.22,235683,5.43
uWQKSIuYAko,Create an Automatic Bibliography in Microsoft Word,"Sep 5, 2018",55507,4190.3592,219,212.843,415095,5.6
7y8IdKmfqeU,"Haul-Master Folding Cargo Carrier: Unboxing, Assembly, and First Impressions","Oct 15, 2019",16704,1026.325,29,208.555,185168,4.22
0wuU-7BmtVE,Blender for Video Editing: Video Transitions,"Jun 6, 2020",53519,2997.4321,328,207.881,472478,4.72
RPzFLzKkQGs,Using the Control System Designer in Matlab,"May 18, 2019",57766,6692.8338,868,201.249,818060,3.56
f7nODvpmCHw,3D Printing Using Fusion 360 and Cura,"Dec 31, 2019",45435,1410.6447,277,200.711,262776,8.1
FLQXW6G9P8I,"Cartesian, Polar, Cylindrical, and Spherical Coordinates","Oct 21, 2019",52706,4874.2067,774,197.753,620365,4.74
qCgqYNhmmDE,Getting Started with LaTeX,"Sep 17, 2018",57984,4930.2501,273,196.279,930855,3.62
1inMVOvSUPE,Replacing the Key Fob Battery on a Nissan Leaf,"Dec 30, 2018",16400,794.5329,30,190.794,92532,2.55
Gzlk6MKGHrg,"Using Blender to Add Images, Text, and Sounds to Video Clips","Feb 1, 2020",52860,3885.8018,589,189.656,691245,4.09
8NQ1h0gGgX8,Getting Started with the Matlab Support Package for Arduino Hardware,"Sep 20, 2018",83076,4715.0107,516,188.218,669753,7.32
1zIIcYfp5QA,Introduction to Full State Feedback Control,"May 27, 2019",36594,5202.0907,646,186.089,495030,3.33
WLPvCefp6Qo,Getting Started with Simulink,"Sep 28, 2018",30390,3291.512,319,179.64,566107,3
2QD_piybnbU,Dryer Not Heating Up – Solved!,"Apr 11, 2022",17577,1379.663,36,169.724,88130,2.57
_M0mOHn0ink,Getting Started with Matlab,"Sep 13, 2018",50638,3631.5539,651,165.042,372578,3.61
a4f6P70pBuA,Adding Shore Power to a Ford Transit Van Conversion,"Oct 19, 2019",19202,1178.0777,151,162.832,200725,3.53
bFFAL9lI2IQ,"A Nonlinear, 6 DOF Dynamic Model of an Aircraft: The Research Civil Aircraft Model (RCAM)","Apr 26, 2020",41221,5785.5692,506,157.509,383198,4.92
ZSNl5crAvsw,Numerically Solving Partial Differential Equations,"Nov 10, 2019",31705,3804.1932,522,155.007,396768,4.07
rVKB7NFp1Qs,Stand Mixer Won’t Turn – Solved!,"Jan 23, 2023",23705,855.0248,35,153.123,86298,4.74
nOz3uTi20Jo,Getting Started with the Simulink Support Package for Arduino Hardware,"Sep 25, 2018",79687,5185.1361,530,153.002,732579,6.16
dHMXgDzV1Hc,Deleting a Perforce Workspace,"Nov 21, 2018",23636,2151.2149,56,147.577,284657,3.9
ULsGLJbmPaY,Disconnecting the Rear Cargo Light on a Ford Transit,"Nov 16, 2020",22427,574.3138,46,144.413,159196,3.86
plOAUG7BR4o,Getting Started with APRS and Direwolf,"May 2, 2022",27723,2908.8539,282,143.407,332586,4.5
5xCwI_V9VSI,Tune an Antenna Using a NanoVNA,"Apr 25, 2022",20369,1837.5929,155,133.632,262343,4.27
s_ehZc5N7Lg,3D Plotting in Mathematica,"Oct 24, 2018",40234,1772.9913,232,124.978,318111,6.13
I3jiMhVGmcg,Solving the 1D Heat Equation,"Nov 16, 2018",26142,1901.8264,173,119.444,255911,4.45
cw7adeD1yeg,Installing Mission Planner,"Sep 2, 2018",61872,2298.7708,295,119.424,222677,9.03
Whp6jolTu34,Solving the 2D Wave Equation,"Nov 19, 2018",26526,2277.8474,208,118.437,251186,4.72
M6FQfLmir0I,Linearizing a Simulink Model Using the Linear Analysis Tool and ‘linmod’,"Jun 1, 2019",35200,2371.6995,245,112.076,326692,4.08
pXvAh1IOO4U,State Space Representation of Differential Equations,"Oct 19, 2020",31228,2866.0469,264,110.964,279800,4.24
nIT94ECUvzU,How to Start a 1978 Peugeot 103 Moped,"Aug 23, 2021",26978,834.6686,42,110.342,244596,6.81
L-J889bgO_8,An Electric Wood Chipper and Shredder: The Earthwise GS70015,"Jul 4, 2022",15815,1392.7204,53,109.732,175136,4.69
cBMgRWOzLnw,Bode Plots of Complex Transfer Functions,"Apr 29, 2019",19650,1766.594,141,109.127,274782,3.19
G2Gydmk5njM,Removing the Rear Door Paneling on a Ford Transit,"Aug 17, 2020",17235,591.0962,79,108.262,164887,3.24
l-sxhe69dg8,The Fezibo L-Shaped Triple Motor Standing Desk,"Jun 12, 2023",8144,481.4305,11,107.431,71389,3.99
QWCLthgJEbc,"Deriving Percent Overshoot, Settling Time, and Other Performance Metrics","Nov 20, 2018",22381,2037.971,134,105.916,281615,2.84
yI7UX76tLeY,Introduction to Ordinary Differential Equations,"Oct 6, 2020",24645,2307.0998,436,104.913,238667,3.81
lBXdFu6Rwn4,Introduction to Optimization,"Sep 7, 2021",24892,2285.2814,527,101.079,481672,2.1
yr6om0e0oAQ,Practical Implementation Issues with a PID Controller,"May 17, 2021",25119,5158.3081,341,99.805,367583,3.6
gA-KOk3SAb0,Understanding and Sketching the Root Locus,"May 7, 2019",32647,8969.1477,246,98.572,473515,3.19
evVi_D7C6mA,Bandwidth of a Dynamic System,"May 12, 2019",17905,2167.8273,375,94.274,318384,2.79
98Mfe-Vfgo0,Computing Euler Angles: Tracking Attitude Using Quaternions,"Apr 11, 2020",25268,3432.0359,355,93.111,382344,3.46
oQDi3Giv-DI,Controllability of a Linear System: The Controllability Matrix and the PBH Test,"May 27, 2019",15818,2980.0758,208,92.966,301126,2.53
oo7CcX6mUoM,Permanently Installing an Automatic Battery Float Charger on a Car,"Jul 6, 2020",13912,517.6435,30,92.496,102848,3
b1uIEnjqcZM,How to Replace a Dryer Thermal Fuse,"Dec 25, 2023",13400,411.823,32,91.389,28360,2.37
QWb9sq35cNk,The Routh-Hurwitz Stability Criterion,"May 11, 2019",18218,1926.2185,124,90.831,283475,2.61
kypswO4RLkk,Trimming a Simulink Model Using the Linear Analysis Tool,"May 31, 2019",20169,2565.6933,128,89.888,323074,2.71
c3bRUDvLTS4,How to Remove the Cap on a Swiffer Wet Jet Bottle,"Jan 29, 2024",27703,721.3391,16,89.103,35547,1.55
12XRTUqG94Y,How to Install the MinGW-w64 Compiler in Matlab,"Oct 7, 2018",43266,2422.5706,136,87.655,301707,5.13
PnNAlRYprzA,Plywood: a Surprisingly Fast Way to Shovel Snow,"Feb 15, 2021",21781,668.4473,20,87.205,181591,6.84
RTEpONXUJyE,Converting Constrained Optimization to Unconstrained Optimization Using the Penalty Method,"May 9, 2020",18479,1976.6214,257,86.751,225244,3.86
HAEBJ3z42Wg,"Van Ladder by Prime Designs: Unboxing, Installation, and First Impressions","Oct 29, 2019",9425,825.9173,90,86.663,131918,3.76
_upZ13VVSkE,"Vivo/EleTab Manual Crank Standing Desk: Unboxing, Assembly, and First Impressions","Dec 15, 2019",9225,393.7031,21,86.214,125309,4.74
FGe5N4HPQMI,Blender for Video Editing: Picture-in-Picture (PiP),"Apr 6, 2020",21950,1242.82,181,83.545,312296,3.55
1VmeijdM1qs,Numerically Linearizing a Dynamic System,"May 21, 2020",19295,2793.7801,102,82.7,314638,3.15
pv4tvwghGCQ,Creating and Initializing a New Perforce Depot,"Jun 12, 2019",21887,1018.3203,51,80.518,124129,6.03
VMd-z3qBQsI,Using ‘fminsearch’ to Minimize a Function Specified by a File with Extra Parameters,"May 4, 2020",15615,1051.425,68,80.403,166107,3.65
c0Lv-mJ_65o,Wind Tunnel Testing: Introduction and Data Acquisition,"Jan 18, 2021",15429,1154.1275,195,79.841,244619,3.15
WEYX-wa9csU,"Complex Numbers, Complex Variables, and Complex Functions","Oct 4, 2019",13695,1413.3517,230,79.089,164626,4.37
ixsRJPlO_rc,Derivation of the Heat Equation,"Nov 13, 2018",24285,1680.3766,199,77.82,240941,5.38
NF_Q282V_uo,Blender for Video Editing: Privacy Blur Using Masking,"Aug 10, 2020",18110,1631.1109,107,77.196,210011,3.99
OPqXHxd9djc,Using a Drone to Hang Holiday Lights in a 130’ Tall Tree,"Dec 12, 2018",7986,522.12,18,75.435,72905,2.82
im19KuzjWwo,Using ‘rlocus’ in Matlab to Plot the Root Locus,"May 7, 2019",32711,1651.8887,145,74.953,312496,2.95
sgTt7v4LYfE,DC Gain,"Apr 13, 2019",17452,1358.9962,169,74.647,276873,2.72
6NB4QiKId2w,Unconstrained Optimization,"Sep 13, 2021",13000,1430.4003,145,74.09,195547,3.88
9gRTenEbwSk,Chef’s Choice Model 15XV Electric Knife Sharpener: a Review with Quantitative Data,"Mar 11, 2024",8604,737.1399,22,73.522,73002,4.43
uTabQKD2WMs,Velocity & Acceleration in Non-Inertial Reference Frames (Coriolis & Centrifugal Acceleration),"Jan 10, 2019",20784,3783.4706,239,73.215,317580,2.54
m5huqed5uNc,Modifying a Perforce Workspace,"Dec 22, 2017",19510,502.6846,28,73.061,185546,5.82
Fh3nMi87cB8,Derivation of Rodrigues’ Rotation Formula,"Dec 24, 2018",17913,2117.7649,159,71.837,250064,3.22
4BJ-GpYbZlU,Geodetic Coordinates: Computing Latitude and Longitude,"Jun 1, 2020",19409,1612.2341,262,71.783,250053,4.44
9GZjtfYOXao,Computing Euler Angles: The Euler Kinematical Equations and Poisson’s Kinematical Equations,"Apr 6, 2020",16351,2893.9041,127,71.707,277919,2.75
KAS7JBztw8E,Derivation of the 2D Wave Equation,"Nov 17, 2018",23254,1811.9015,268,71.495,261302,4.51
5FmXwsrHmpA,Time Domain Analysis: Performance Metrics for a First Order System,"Apr 15, 2019",10802,1917.2599,50,71.259,280572,2.19
GCESkCyZt4g,Derivation and Solution of Laplace’s Equation,"Nov 16, 2018",26857,1377.0936,220,70.857,218197,6.04
FgF-QfbP7zc,Final Value Theorem,"Apr 14, 2019",12149,1265.1868,91,70.191,295894,2.1
9vCTokJ5RQ8,Practical Implementation Issues with a Full State Feedback Controller,"Nov 30, 2018",19243,2829.6371,210,69.808,366846,2.62
eJMf9CYHr6c,Standard 2nd Order ODEs: Natural Frequency and Damping Ratio,"Oct 12, 2020",13644,1030.6761,77,68.335,115677,2.4
zIAD8V4KqXU,Diamond Pattern Snow Chains – They’re So Easy!,"Dec 28, 2020",7340,733.0234,26,68.323,117466,2.8
S03e6dwM100,Creating Movies and Animations in Mathematica,"Nov 8, 2018",24708,2018.3689,239,66.628,306285,4.09
5L-w143fEQA,Blender for Video Editing: Introduction to Keyframes,"Jun 30, 2020",24679,2099.535,192,65.725,324915,3.29
o4Y8KvGEvo0,DIY Overhead Garage Storage with Raising & Lowering Shelves,"Feb 8, 2021",7039,267.2512,11,65.52,98143,2.5
0tbr4OIufK8,Relationship Between Poles and Performance of a Dynamic System,"Nov 20, 2018",10826,1438.1552,87,64.452,230896,2.45
JO6Tai2qyec,The POC Tectal Race Spin Helmet,"Jun 28, 2021",13344,900.09,17,64.446,119829,6.14
faM4tTh1JEc,Replacing the Starter Battery and Installing a Battery Monitor and Charger on a Ford Transit,"Oct 26, 2020",7878,586.8202,52,64.101,127986,2.96
KX7GNqy3k7w,Introduction to Bode Plots,"Apr 24, 2019",16390,1971.0928,138,63.157,289869,3.03
RG_tdz1VzwY,Transfer Function to State Space,"Apr 19, 2021",18000,1057.8355,157,60.919,177445,3.62
q0nX8uIFZ_k,The Laplace Transform,"Oct 1, 2019",8695,1931.9206,79,60.61,120287,3.33
YzZI1V2mJw8,Trimming a Model of a Dynamic System Using Numerical Optimization,"May 13, 2020",17820,2132.2994,120,60.288,225316,3.91
XQZV-YZ7asE,"The Navigation Equations: Computing Position North, East, and Down","Jun 1, 2020",12317,1114.4543,102,60.105,155704,3.82
 -l7e6mcQrp4,Creating and Cloning a Git Repository,"Apr 29, 2018",11126,541.758,29,58.375,65694,3.82
7JUltep9ciA,Install a Refrigerator in the Garage,"Jul 12, 2021",5591,254.0671,0,56.257,73086,4.07
vAeg0CwFRzc,DIY Giant Shooting Star Holiday Light,"Nov 28, 2018",7154,222.2656,14,55.877,86595,3.12
4QrfF-SgA7U,Braun 5000 Lumen 4 ft LED Hanging Shop Light from Harbor Freight,"Jun 7, 2021",5813,324.324,11,55.295,61564,2.57
opMKp3WmQ7w,A Cheap and Easy Way to Laminate Things,"Jan 11, 2021",12160,442.0801,25,55.1,114986,3.78
R1XY9DLIpzQ,"The Creality CR-10 Mini 3D Printer: Unboxing, Assembly, and Review","Jan 31, 2020",5019,662.2612,53,53.748,81915,3.04
RCY-O27TxlA,Installing a Locking Mailbox,"Mar 7, 2022",5751,382.5265,17,52.367,94760,2.35
LftL6dA6tzE,Using a Homogeneous Transformation Matrix to Combine Rotation and Translation,"Apr 19, 2020",11524,1056.6003,85,52.021,177981,2.42
9FoJLCuJSQ0,Charging DJI Controllers and Batteries,"May 30, 2022",14218,518.6333,13,51.634,42225,1.5
6FZ6sIZSYrc,Wind Tunnel Corrections and Data Reduction,"Jan 28, 2021",9559,1934.8878,75,51.274,139678,2.99
NmMU7Hh6yos,Unmanned Aerial System (UAS) Ground Control Station (GCS) in a Pelican Case,"Sep 6, 2018",22625,688.3517,127,51.014,190811,7.24
rNYHww84juM,Using Root Locus to Meet Performance Requirements,"Nov 21, 2018",15031,1246.3587,104,50.883,260382,3.07
wvRlvDYDIgw,Similarity Transformation and Diagonalization,"Dec 13, 2021",11099,868.2781,72,50.742,129298,3.7
kbV9LdQXVtg,The Taylor Series,"Dec 7, 2020",6690,1057.7264,54,49.639,126530,2.55
fAZZJgm096w,"Simple Vector Mechanics: Inner Product, Scalar/Vector Projection, and Cross Product","Jan 4, 2021",17899,1104.5562,153,49.148,149796,2.18
nidkPN12M4I,Making a Filament Dryer for 3D Printing for Only $40,"May 3, 2021",10561,616.2982,27,48.957,78454,3.31
LQf2Vd-frsA,Using ‘minreal’ in Matlab to Perform Transfer Function Pole/Zero Cancellation,"May 11, 2019",12521,829.2251,95,48.786,356267,1.78
Uz3B9fVb4LQ,Numerical Optimization Algorithms: Step Size Via the Armijo Rule,"Nov 1, 2021",9420,970.7015,131,48.783,146918,2.92
FUitbiQ2XG4,Visualizing the State of an Aircraft Using Simulink 3D Animation,"May 27, 2020",23461,1028.3367,155,48.475,259347,4.6
f8tdTiuj5lo,Visualizing the State of a Simulink Aircraft Model Using FlightGear,"May 30, 2020",24129,1519.7035,211,48.201,299005,4.42
lMGJFixkj0o,Swivel Mount for Peloton Bike: Save Yourself $1000,"Dec 6, 2021",2912,166.5209,1,48.141,45028,2.49
MvoQ3K-EMEI,DIY Open Fire Cooking Tripod,"May 24, 2021",10522,643.7843,27,48.027,124727,3.52
4kaK569ug9Q,Angle of Attack/Sideslip and the Stability/Wind Axes,"Nov 22, 2021",8860,884.056,97,47.811,149270,2.48
UWrkh_N1bfE,The 4 Quadrant Inverse Tangent (atan2) and Other Inverse Trigonometric Functions,"Sep 7, 2020",11135,915.2393,110,46.207,174318,2.35
Celxv69ycIA,"Getting Started with Arduino:  IDE Installation, Setup, and Getting Connected","Sep 19, 2018",14373,850.7325,58,45.405,75785,3.69
NNJ0sUmrKu8,State Space to Transfer Function,"Apr 12, 2021",15381,950.9378,152,45.336,159144,3.56
f6DW3LKs89k,The Best Whiteboard Eraser,"Oct 7, 2019",14390,348.2888,33,44.475,195791,3.92
 -OyRCgv-hPs,Vector Derivatives (the Equation of Coriolis) and the Angular Velocity Vector,"Dec 25, 2018",13628,2489.6751,130,43.973,251750,2.63
aoFakXGYOH0,Understanding and Sketching Individual Bode Plot Components,"Apr 25, 2019",12343,2894.3369,64,43.542,251488,2.3
JZlqctmQ7is,"Aircraft Longitudinal & Lateral/Directional Models & Modes (Phugoid, Short Period, Dutch Roll, etc.)","Feb 14, 2022",14617,1337.61,234,43.128,197064,3.62
0ZUp07xP--A,Resonant Frequency of a Dynamic System,"Apr 24, 2019",10494,945.1575,68,43.023,220450,2.33
rw7s84oixl0,Blender for Video Editing: Working with Landscape and Portrait Movies,"Jun 18, 2020",13857,813.1927,83,41.571,191376,3.18
R8qeOBHKFFA,Comica CVM-WS50 Unboxing and Setup: A Wireless Lavalier Microphone for Smartphones,"Nov 3, 2018",3469,264.3457,10,39.114,48646,3.15
YjvinBJUzIo,The DeWALT DCMW220X2C 20” Battery Powered Lawn Mower,"Mar 14, 2022",4704,326.6576,4,38.706,77701,2.72
P5fcgnaYIeQ,Time Domain Analysis with Matlab: Using the Linear System Analyzer,"Apr 17, 2019",11585,893.1138,83,38.634,252618,2.48
GLTenrOMBz8,Replace the Line on a DeWalt String Trimmer,"Jun 10, 2024",7963,372.9432,7,38.053,17682,0.94
37CP43OogQI,Customizing ArduPlane Firmware: Obtaining and Setting Up the Codebase,"Apr 23, 2018",19902,1530.6059,243,37.481,161016,6.21
E7JSeQEjvnY,A Comprehensive Guide to Launching a High-Altitude Balloon,"Feb 6, 2023",5509,749.2167,69,37.397,75906,2.27
aP5E3TH7DW0,"Insta360 ONE X Unboxing, Setup, and Getting Started","May 15, 2019",3826,543.0191,31,35.847,71319,2.24
4TGqICzM5XM,Using a Joystick to Interact with a Simulink Model,"May 24, 2020",15630,817.9072,114,35.784,203739,3.35
Mv6aUQkK59s,Manipulating Aerodynamic Coefficients,"Apr 21, 2020",7424,571.7381,87,35.719,136438,3.14
JhwYe7kOJPI,The Flat Earth Equations of Motion,"Apr 18, 2022",6511,1100.9073,23,35.585,106231,3.15
PmbzzdrJIMU,Embedding vs Linking to Movies in PowerPoint,"Jan 6, 2018",2513,167.486,33,34.684,19633,2.62
ur7z_sOD3WI,DIY Rooftop Kayak Carrier,"Aug 31, 2020",5208,206.0103,13,34.498,91596,1.92
Xaju4l9KTE0,Gaussian/Normal Distributions,"Nov 26, 2019",4455,484.7258,45,34.209,66292,1.86
09L3nhjNhjg,Getting Started with PinPoint APRS,"May 9, 2022",7149,603.3987,83,34.006,109303,3.07
Nt4Ab2YdiLA,Wind Tunnel Data Analysis and Testing Considerations,"Feb 2, 2021",4949,623.3725,34,33.363,114262,1.87
o8a4d11g5Kw,Visualizing the State of a Simulink Aircraft Model Using X-Plane,"Jun 4, 2020",12529,685.5801,107,33.175,115865,4.93
y_-4NSeGMY0,San Diego Zoo Safari Park: Balloon Safari,"Feb 24, 2020",5061,168.4298,6,32.854,78762,2.76
5FLIqReiO_k,Mt. Pilchuck:  A Horrible Road to a Great Hike,"Nov 9, 2020",3725,255.199,10,32.216,57071,3.22
qcFdpBi5i38,Numerical Optimization Algorithms:  Gradient Descent,"Sep 27, 2021",7119,717.562,83,31.139,161635,2.26
G2gxvRjQHxc,Numerically Calculating Partial Derivatives,"May 21, 2020",4348,460.8068,29,30.893,52736,2.13
nZ6LcTjtCbs,Monitor Won’t Turn On – Solved!,"Jan 15, 2024",7835,192.4383,13,30.711,24262,1.02
35BTWpaihkI,Eigenvalues and Modes of Linear Systems,"Jan 31, 2022",5349,421.1415,28,28.658,101986,1.74
SrT2tPP2f84,Working with Graphics in Mathematica,"Apr 7, 2019",10920,522.2764,56,27.977,93816,7.51
sEkeHetYkv8,Updating the License on a Perforce Server,"May 3, 2019",6354,219.5561,16,25.901,126742,2.37
HvamtJUSJjU,AT&T Sent Me a Free iPhone,"Nov 29, 2021",3894,94.2605,7,25.712,58786,4.71
i2fmaabIs5w,Introduction to Neural Networks,"May 30, 2023",3958,412.6467,50,25.08,71660,2.47
PLGezPQYMrs,Customizing ArduPlane Firmware: Building the Firmware,"May 1, 2018",18670,1099.8505,155,24.945,107924,6.89
g7yudBh517U,Switching Your Internet Service Provider (ISP): Going From DSL To Cable,"Apr 5, 2021",1881,157.008,2,24.774,59174,1.1
rx2vUzjuDc0,Solving Systems of Equations Using the Optimization Penalty Method,"May 10, 2020",5879,523.2654,37,24.237,97851,2.79
