Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
RPzFLzKkQGs,Using the Control System Designer in Matlab,"May 18, 2019",56364,6513.2796,845,194.919,796689,3.57
uWQKSIuYAko,Create an Automatic Bibliography in Microsoft Word,"Sep 5, 2018",55041,4156.0563,219,210.572,413642,5.6
0wuU-7BmtVE,Blender for Video Editing: Video Transitions,"Jun 6, 2020",52708,2956.6367,324,205.829,465883,4.74
iAVNF-1MPoE,Refillable 1 Pound Propane Bottles,"Jul 5, 2021",52530,9051.9084,274,790.897,635994,3.9
Gzlk6MKGHrg,"Using Blender to Add Images, Text, and Sounds to Video Clips","Feb 1, 2020",52279,3847.4698,585,188.48,683822,4.08
182m2cSyuUs,Working with Matrices in Mathematica,"Oct 3, 2018",50589,4019.5807,372,228.949,471744,6.19
FLQXW6G9P8I,"Cartesian, Polar, Cylindrical, and Spherical Coordinates","Oct 21, 2019",50366,4669.789,733,189.171,594777,4.72
_VzHpLjKeZ8,Introduction to PID Control,"May 1, 2023",50080,6648.812,1290,278.29,965906,3.21
_M0mOHn0ink,Getting Started with Matlab,"Sep 13, 2018",49378,3568.5248,636,158.785,368766,3.61
66Up4bJpR80,Clock Frozen and Cannot Set Time on a Ford Vehicle,"Nov 18, 2019",49178,1391.1349,92,446.601,182675,4.06
GJBc6z6p0KQ,Euler Angles and the Euler Rotation Sequence,"Apr 1, 2020",47959,6018.1487,640,211.219,610081,3.82
XsaSySuIDOw,Programming and Deleting Channels on a Baofeng BF-F8HP Radio,"Feb 8, 2020",46144,2665.9661,304,363.417,306013,3.42
f7nODvpmCHw,3D Printing Using Fusion 360 and Cura,"Dec 31, 2019",44901,1396.7512,276,198.405,260911,8.09
of8Gc_mE3ic,"DIY Roof Rack: Design, Construction, and Field Testing","Jan 30, 2020",43294,4900.8136,323,349.735,606114,3.46
09fxpbnItQ8,Eagle Peak Trail in Mt. Rainier National Park,"Aug 16, 2021",43195,418.1554,20,19.919,52922,1.05
12XRTUqG94Y,How to Install the MinGW-w64 Compiler in Matlab,"Oct 7, 2018",42446,2383.007,135,85.467,296470,5.12
m5sEln5bWuM,Building a Matlab/Simulink Model of an Aircraft: The Research Civil Aircraft Model (RCAM),"Apr 29, 2020",41983,3754.4361,441,217.549,380735,5.01
s_ehZc5N7Lg,3D Plotting in Mathematica,"Oct 24, 2018",39707,1749.227,230,122.777,312227,6.17
bFFAL9lI2IQ,"A Nonlinear, 6 DOF Dynamic Model of an Aircraft: The Research Civil Aircraft Model (RCAM)","Apr 26, 2020",39376,5538.828,475,149.905,368533,4.87
pZv3oTVQPf4,Dishwasher Detergent Door Opens But Detergent Is Still There – Solved!,"Aug 7, 2023",39183,1665.3475,30,272.4,132947,7.46
Mq2YggNeCLs,DIY Folding Hitch Bike Rack,"Nov 26, 2019",38821,1820.5445,68,268.69,515085,2.96
cOlnF049wPA,One Earbud More Quiet Than the Other – Solved!,"Dec 12, 2022",36854,1237.781,44,198.635,168954,6.57
0boqFrP2aus,Dryer Stuck With 1 Minute Left – Solved!,"Aug 15, 2022",36630,1462.5718,98,288.248,150379,5.41
Op-usMAGRAc,Turn Pictures Into CAD Models for Fusion 360,"Mar 29, 2021",36567,3136.8231,245,216.121,441092,4
1zIIcYfp5QA,Introduction to Full State Feedback Control,"May 27, 2019",35733,5084.0831,637,182.515,483165,3.33
AHj7PQ4SD3w,Ford Transit Headliner Removal,"Mar 18, 2020",34729,1996.4704,469,244.42,336339,4.27
OE9Va_ky6yU,Block Diagram Algebra,"Apr 9, 2019",34329,4943.3028,350,261.483,485924,3.46
M6FQfLmir0I,Linearizing a Simulink Model Using the Linear Analysis Tool and ‘linmod’,"Jun 1, 2019",34150,2297.4973,237,108.465,313501,4.1
Ak30ODrkyo8,Changing the Blade on a Makita LS1030 Miter Saw,"Oct 1, 2019",32912,1576.0349,59,259.76,250256,5.14
TODDZnOT3ro,Expressing Vectors in Different Frames Using Rotation Matrices,"Dec 27, 2018",32225,3941.87,418,255.408,387400,3
im19KuzjWwo,Using ‘rlocus’ in Matlab to Plot the Root Locus,"May 7, 2019",32206,1617.8733,142,73.028,302294,2.98
gA-KOk3SAb0,Understanding and Sketching the Root Locus,"May 7, 2019",31422,8653.6461,230,94.724,459514,3.16
9WnbPodUZEc,The DeWALT DCV517B Battery Powered Vacuum,"Dec 14, 2020",31386,1950.1372,59,210.588,233130,5.43
ZSNl5crAvsw,Numerically Solving Partial Differential Equations,"Nov 10, 2019",31321,3769.7323,519,153.996,393954,4.06
pXvAh1IOO4U,State Space Representation of Differential Equations,"Oct 19, 2020",30242,2772.0182,253,107.383,272438,4.2
TuucPiJhEDY,"Unlocking, Starting, and Driving a Nissan Leaf with a Dead Key Fob Battery","Dec 31, 2018",30172,1187.8394,63,236.746,158870,4.64
WLPvCefp6Qo,Getting Started with Simulink,"Sep 28, 2018",29930,3246.0444,315,177.509,558649,3
1BfhVSW8UPM,Dryer Drum Not Turning – Solved!,"May 15, 2023",29530,1250.7015,44,199.597,41146,3.72
g5EULqpJCQ8,"The RakAttach Swing-Away Hitch Mount:  Unboxing, Installation, and Review","Aug 24, 2020",26764,2661.5963,88,276.281,276906,4.36
GCESkCyZt4g,Derivation and Solution of Laplace’s Equation,"Nov 16, 2018",26600,1368.2174,219,70.22,214893,6.08
Whp6jolTu34,Solving the 2D Wave Equation,"Nov 19, 2018",26215,2260.5409,206,117.271,248737,4.72
I3jiMhVGmcg,Solving the 1D Heat Equation,"Nov 16, 2018",25875,1884.0796,171,117.796,254239,4.45
2KC_neRj4YE,Reverse/Switch a Refrigerator Door Direction,"Jun 21, 2021",25696,1686.0454,42,246.951,239345,6.02
plOAUG7BR4o,Getting Started with APRS and Direwolf,"May 2, 2022",25487,2672.434,262,129.091,306045,4.47
nIT94ECUvzU,How to Start a 1978 Peugeot 103 Moped,"Aug 23, 2021",24928,773.0131,40,102.805,228973,6.72
S03e6dwM100,Creating Movies and Animations in Mathematica,"Nov 8, 2018",24351,1993.4429,236,65.369,302221,4.09
98Mfe-Vfgo0,Computing Euler Angles: Tracking Attitude Using Quaternions,"Apr 11, 2020",24212,3296.42,340,87.228,368721,3.43
5L-w143fEQA,Blender for Video Editing: Introduction to Keyframes,"Jun 30, 2020",24141,2062.2206,184,64.166,319455,3.28
ixsRJPlO_rc,Derivation of the Heat Equation,"Nov 13, 2018",24096,1666.5942,198,77.28,238441,5.38
yI7UX76tLeY,Introduction to Ordinary Differential Equations,"Oct 6, 2020",23885,2244.9331,427,102.132,236142,3.8
dHMXgDzV1Hc,Deleting a Perforce Workspace,"Nov 21, 2018",23000,2102.1469,56,144.297,278322,3.9
KAS7JBztw8E,Derivation of the 2D Wave Equation,"Nov 17, 2018",22810,1776.5143,264,69.976,255356,4.52
f8tdTiuj5lo,Visualizing the State of a Simulink Aircraft Model Using FlightGear,"May 30, 2020",22773,1443.465,199,45.852,285326,4.35
yr6om0e0oAQ,Practical Implementation Issues with a PID Controller,"May 17, 2021",22756,4627.1666,308,90.496,341694,3.5
lBXdFu6Rwn4,Introduction to Optimization,"Sep 7, 2021",22605,2067.2721,479,91.465,465881,2.01
FUitbiQ2XG4,Visualizing the State of an Aircraft Using Simulink 3D Animation,"May 27, 2020",22498,989.3992,150,46.339,249448,4.6
NmMU7Hh6yos,Unmanned Aerial System (UAS) Ground Control Station (GCS) in a Pelican Case,"Sep 6, 2018",22032,671.3776,123,49.367,186646,7.22
QWCLthgJEbc,"Deriving Percent Overshoot, Settling Time, and Other Performance Metrics","Nov 20, 2018",21817,1957.7631,130,102.648,270762,2.85
PnNAlRYprzA,Plywood: a Surprisingly Fast Way to Shovel Snow,"Feb 15, 2021",21687,665.8516,20,86.991,180551,6.86
FGe5N4HPQMI,Blender for Video Editing: Picture-in-Picture (PiP),"Apr 6, 2020",21608,1227.8398,181,82.91,307726,3.55
pv4tvwghGCQ,Creating and Initializing a New Perforce Depot,"Jun 12, 2019",21522,1001.9358,51,79.505,122948,5.99
ULsGLJbmPaY,Disconnecting the Rear Cargo Light on a Ford Transit,"Nov 16, 2020",21338,547.794,42,138.584,154735,3.81
rVKB7NFp1Qs,Stand Mixer Won’t Turn – Solved!,"Jan 23, 2023",20439,742.8932,29,131.91,76361,4.37
uTabQKD2WMs,Velocity & Acceleration in Non-Inertial Reference Frames (Coriolis & Centrifugal Acceleration),"Jan 10, 2019",20168,3685.7194,231,71.086,309531,2.52
kypswO4RLkk,Trimming a Simulink Model Using the Linear Analysis Tool,"May 31, 2019",19595,2491.3481,126,88.012,314251,2.7
cBMgRWOzLnw,Bode Plots of Complex Transfer Functions,"Apr 29, 2019",19244,1727.7644,138,107.315,266639,3.21
5xCwI_V9VSI,Tune an Antenna Using a NanoVNA,"Apr 25, 2022",19058,1724.1662,149,121.974,250116,4.23
m5huqed5uNc,Modifying a Perforce Workspace,"Dec 22, 2017",18923,489.5076,28,71.842,179887,5.84
a4f6P70pBuA,Adding Shore Power to a Ford Transit Van Conversion,"Oct 19, 2019",18921,1163.3692,151,160.649,198206,3.52
37CP43OogQI,Customizing ArduPlane Firmware: Obtaining and Setting Up the Codebase,"Apr 23, 2018",18848,1454.0808,234,35.317,152744,6.18
9vCTokJ5RQ8,Practical Implementation Issues with a Full State Feedback Controller,"Nov 30, 2018",18837,2773.5943,204,68.24,359239,2.63
4BJ-GpYbZlU,Geodetic Coordinates: Computing Latitude and Longitude,"Jun 1, 2020",18821,1570.2937,257,70.451,243148,4.42
1VmeijdM1qs,Numerically Linearizing a Dynamic System,"May 21, 2020",18492,2676.2244,97,78.899,301065,3.16
RTEpONXUJyE,Converting Constrained Optimization to Unconstrained Optimization Using the Penalty Method,"May 9, 2020",18026,1924.0062,249,84.541,220068,3.84
NF_Q282V_uo,Blender for Video Editing: Privacy Blur Using Masking,"Aug 10, 2020",17809,1610.105,107,76.678,208253,3.96
PLGezPQYMrs,Customizing ArduPlane Firmware: Building the Firmware,"May 1, 2018",17770,1052.0574,152,23.639,103901,6.82
QWb9sq35cNk,The Routh-Hurwitz Stability Criterion,"May 11, 2019",17686,1858.5218,122,88.139,274877,2.6
RG_tdz1VzwY,Transfer Function to State Space,"Apr 19, 2021",17466,1019.2413,151,59.24,171495,3.64
Fh3nMi87cB8,Derivation of Rodrigues’ Rotation Formula,"Dec 24, 2018",17319,2056.5275,155,68.857,241540,3.22
evVi_D7C6mA,Bandwidth of a Dynamic System,"May 12, 2019",17259,2090.4521,363,90.126,307446,2.78
YzZI1V2mJw8,Trimming a Model of a Dynamic System Using Numerical Optimization,"May 13, 2020",17003,2045.399,115,57.772,216016,3.89
fAZZJgm096w,"Simple Vector Mechanics: Inner Product, Scalar/Vector Projection, and Cross Product","Jan 4, 2021",16907,1056.0395,144,46.019,143560,2.14
sgTt7v4LYfE,DC Gain,"Apr 13, 2019",16857,1309.7716,167,71.998,263831,2.75
c3bRUDvLTS4,How to Remove the Cap on a Swiffer Wet Jet Bottle,"Jan 29, 2024",16694,424.4442,9,53.771,22346,1.38
G2Gydmk5njM,Removing the Rear Door Paneling on a Ford Transit,"Aug 17, 2020",16559,569.3793,79,104.508,159796,3.21
1inMVOvSUPE,Replacing the Key Fob Battery on a Nissan Leaf,"Dec 30, 2018",16377,793.2767,29,190.613,92061,2.56
7y8IdKmfqeU,"Haul-Master Folding Cargo Carrier: Unboxing, Assembly, and First Impressions","Oct 15, 2019",16096,993.0143,27,202.843,179911,4.18
KX7GNqy3k7w,Introduction to Bode Plots,"Apr 24, 2019",15773,1890.8857,137,60.571,279100,3.02
9GZjtfYOXao,Computing Euler Angles: The Euler Kinematical Equations and Poisson’s Kinematical Equations,"Apr 6, 2020",15755,2802.471,123,69.444,270889,2.71
oQDi3Giv-DI,Controllability of a Linear System: The Controllability Matrix and the PBH Test,"May 27, 2019",15442,2912.8255,204,90.585,294043,2.52
VMd-z3qBQsI,Using ‘fminsearch’ to Minimize a Function Specified by a File with Extra Parameters,"May 4, 2020",15341,1031.3513,67,78.576,161176,3.69
4TGqICzM5XM,Using a Joystick to Interact with a Simulink Model,"May 24, 2020",14991,789.0161,109,33.572,195996,3.34
NNJ0sUmrKu8,State Space to Transfer Function,"Apr 12, 2021",14760,911.5431,147,43.963,152936,3.56
rNYHww84juM,Using Root Locus to Meet Performance Requirements,"Nov 21, 2018",14567,1200.3699,99,49.312,250745,3.09
c0Lv-mJ_65o,Wind Tunnel Testing: Introduction and Data Acquisition,"Jan 18, 2021",14374,1074.9618,183,74.441,229905,3.09
L-J889bgO_8,An Electric Wood Chipper and Shredder: The Earthwise GS70015,"Jul 4, 2022",14194,1255.7394,48,99.129,157014,4.66
f6DW3LKs89k,The Best Whiteboard Eraser,"Oct 7, 2019",14180,343.2859,33,43.826,193330,3.9
Celxv69ycIA,"Getting Started with Arduino:  IDE Installation, Setup, and Getting Connected","Sep 19, 2018",14095,834.8212,55,44.877,74937,3.72
oo7CcX6mUoM,Permanently Installing an Automatic Battery Float Charger on a Car,"Jul 6, 2020",13680,509.7881,30,91.102,101993,2.99
rw7s84oixl0,Blender for Video Editing: Working with Landscape and Portrait Movies,"Jun 18, 2020",13585,800.2978,81,40.863,187300,3.18
JZlqctmQ7is,"Aircraft Longitudinal & Lateral/Directional Models & Modes (Phugoid, Short Period, Dutch Roll, etc.)","Feb 14, 2022",13572,1250.6603,203,40.082,186049,3.56
WEYX-wa9csU,"Complex Numbers, Complex Variables, and Complex Functions","Oct 4, 2019",13473,1384.8807,227,77.889,162298,4.37
9FoJLCuJSQ0,Charging DJI Controllers and Batteries,"May 30, 2022",13463,482.0375,11,49.536,41055,1.48
eJMf9CYHr6c,Standard 2nd Order ODEs: Natural Frequency and Damping Ratio,"Oct 12, 2020",13308,989.5622,77,66.968,111731,2.4
 -OyRCgv-hPs,Vector Derivatives (the Equation of Coriolis) and the Angular Velocity Vector,"Dec 25, 2018",13144,2405.4475,127,42.091,242440,2.62
JO6Tai2qyec,The POC Tectal Race Spin Helmet,"Jun 28, 2021",12741,869.1265,17,62.259,115016,6.12
6NB4QiKId2w,Unconstrained Optimization,"Sep 13, 2021",12379,1340.7542,134,70.273,188699,3.86
2QD_piybnbU,Dryer Not Heating Up – Solved!,"Apr 11, 2022",12270,871.5114,22,112.008,64171,2.19
LQf2Vd-frsA,Using ‘minreal’ in Matlab to Perform Transfer Function Pole/Zero Cancellation,"May 11, 2019",12120,800.4273,95,47.423,340881,1.79
o8a4d11g5Kw,Visualizing the State of a Simulink Aircraft Model Using X-Plane,"Jun 4, 2020",12084,662.8839,99,32.146,110230,4.99
XQZV-YZ7asE,"The Navigation Equations: Computing Position North, East, and Down","Jun 1, 2020",11865,1075.8768,97,58.289,150953,3.79
aoFakXGYOH0,Understanding and Sketching Individual Bode Plot Components,"Apr 25, 2019",11842,2794.7859,64,40.847,242682,2.29
opMKp3WmQ7w,A Cheap and Easy Way to Laminate Things,"Jan 11, 2021",11629,422.789,23,52.762,111548,3.75
FgF-QfbP7zc,Final Value Theorem,"Apr 14, 2019",11606,1209.2101,90,67.755,281125,2.1
P5fcgnaYIeQ,Time Domain Analysis with Matlab: Using the Linear System Analyzer,"Apr 17, 2019",11245,860.5208,78,37.051,242910,2.51
LftL6dA6tzE,Using a Homogeneous Transformation Matrix to Combine Rotation and Translation,"Apr 19, 2020",11244,1025.5655,82,50.244,173037,2.44
 -l7e6mcQrp4,Creating and Cloning a Git Repository,"Apr 29, 2018",11064,538.4955,29,58.087,65145,3.81
5kz3iA9lOi4,1300 Rounds Per Minute Easter Egg Gun,"Apr 21, 2019",10837,368.8947,21,22.173,74967,4.2
SrT2tPP2f84,Working with Graphics in Mathematica,"Apr 7, 2019",10732,513.2888,55,27.375,92810,7.46
UWrkh_N1bfE,The 4 Quadrant Inverse Tangent (atan2) and Other Inverse Trigonometric Functions,"Sep 7, 2020",10656,874.1031,107,44.215,167185,2.34
0tbr4OIufK8,Relationship Between Poles and Performance of a Dynamic System,"Nov 20, 2018",10361,1366.6887,86,61.461,221444,2.44
wvRlvDYDIgw,Similarity Transformation and Diagonalization,"Dec 13, 2021",10295,793.9061,63,47.884,121250,3.62
5FmXwsrHmpA,Time Domain Analysis: Performance Metrics for a First Order System,"Apr 15, 2019",10189,1811.4798,48,66.963,268239,2.16
0ZUp07xP--A,Resonant Frequency of a Dynamic System,"Apr 24, 2019",10184,915.0922,67,41.754,212198,2.34
nidkPN12M4I,Making a Filament Dryer for 3D Printing for Only $40,"May 3, 2021",10110,595.2054,26,46.894,77451,3.31
MvoQ3K-EMEI,DIY Open Fire Cooking Tripod,"May 24, 2021",9714,597.5588,26,44.979,117014,3.43
b1uIEnjqcZM,How to Replace a Dryer Thermal Fuse,"Dec 25, 2023",9685,289.0075,23,61.805,26008,2.34
HAEBJ3z42Wg,"Van Ladder by Prime Designs: Unboxing, Installation, and First Impressions","Oct 29, 2019",9197,808.4821,87,84.323,129640,3.75
Uz3B9fVb4LQ,Numerical Optimization Algorithms: Step Size Via the Armijo Rule,"Nov 1, 2021",9117,928.0064,126,47.659,142039,2.91
_upZ13VVSkE,"Vivo/EleTab Manual Crank Standing Desk: Unboxing, Assembly, and First Impressions","Dec 15, 2019",9116,390.4455,21,85.293,123912,4.75
6FZ6sIZSYrc,Wind Tunnel Corrections and Data Reduction,"Jan 28, 2021",8986,1840.6955,72,47.985,133157,2.93
q0nX8uIFZ_k,The Laplace Transform,"Oct 1, 2019",8428,1874.8199,78,58.903,117455,3.28
4kaK569ug9Q,Angle of Attack/Sideslip and the Stability/Wind Axes,"Nov 22, 2021",8256,825.7584,83,44.725,142984,2.42
OPqXHxd9djc,Using a Drone to Hang Holiday Lights in a 130’ Tall Tree,"Dec 12, 2018",7924,518.7092,18,75.025,72614,2.83
faM4tTh1JEc,Replacing the Starter Battery and Installing a Battery Monitor and Charger on a Ford Transit,"Oct 26, 2020",7706,576.4121,49,63.081,125878,2.94
l-sxhe69dg8,The Fezibo L-Shaped Triple Motor Standing Desk,"Jun 12, 2023",7487,445.3818,9,98.986,66961,3.96
zIAD8V4KqXU,Diamond Pattern Snow Chains – They’re So Easy!,"Dec 28, 2020",7270,728.0157,26,67.723,116191,2.8
h9WCEvbu5JI,Adding and Deleting Users on a Perforce Server,"Jun 12, 2019",7133,243.4164,11,21.933,125839,2.68
vAeg0CwFRzc,DIY Giant Shooting Star Holiday Light,"Nov 28, 2018",7111,220.9953,14,55.71,86231,3.12
Mv6aUQkK59s,Manipulating Aerodynamic Coefficients,"Apr 21, 2020",7102,548.4127,81,34.349,131207,3.12
FsLFZT44l48,Heat Transfer Demonstration,"Nov 12, 2018",7005,270.9425,32,18.782,98061,2.83
3vivg-rfF6Y,"Microsoft Surface Pro (2017), Accessories Bundle, and Extras Unboxing","Sep 6, 2018",6906,420.4743,17,12.608,96070,5.44
o4Y8KvGEvo0,DIY Overhead Garage Storage with Raising & Lowering Shelves,"Feb 8, 2021",6742,258.6047,10,63.551,96082,2.47
09L3nhjNhjg,Getting Started with PinPoint APRS,"May 9, 2022",6666,558.7758,74,31.853,103475,3.04
qcFdpBi5i38,Numerical Optimization Algorithms:  Gradient Descent,"Sep 27, 2021",6665,671.3669,79,28.979,155266,2.21
kbV9LdQXVtg,The Taylor Series,"Dec 7, 2020",6204,968.0518,52,45.799,119896,2.49
sEkeHetYkv8,Updating the License on a Perforce Server,"May 3, 2019",6158,213.1127,16,25.341,122801,2.38
JhwYe7kOJPI,The Flat Earth Equations of Motion,"Apr 18, 2022",6092,1024.2808,21,32.667,101649,3.1
yuT4Mg2NIQs,Introduction to Frequency Domain Analysis,"Apr 10, 2023",6017,610.3731,65,17.471,119875,2.86
42WBuhVJ7sA,Standing Waves Demonstration,"Nov 12, 2018",5855,167.9803,64,11.26,92476,2.9
Vc2t2U7S4OU,Getting Started With DashWare,"Jun 6, 2022",5783,387.1049,19,18.383,57645,3.64
4QrfF-SgA7U,Braun 5000 Lumen 4 ft LED Hanging Shop Light from Harbor Freight,"Jun 7, 2021",5705,318.7001,11,54.509,60193,2.55
rx2vUzjuDc0,Solving Systems of Equations Using the Optimization Penalty Method,"May 10, 2020",5661,504.4949,36,20.052,94832,2.77
7JUltep9ciA,Install a Refrigerator in the Garage,"Jul 12, 2021",5320,241.9473,0,54.007,71198,4.03
RCY-O27TxlA,Installing a Locking Mailbox,"Mar 7, 2022",5319,353.0849,17,48.066,90275,2.34
HhuA_kWQaK0,Custom Matlab Initialization Using ‘startup.m’,"Mar 31, 2018",5294,309.3705,14,19.645,42415,5.56
kbGal6xKLB4,Equations of Motion for a Planar Vehicle,"Apr 26, 2021",5241,422.8899,35,17.721,99065,2.36
8nSjGkXMTyo,HX1 Arduino APRS Tracker,"Dec 19, 2022",5213,333.1172,50,16.874,76006,2.78
9gRTenEbwSk,Chef’s Choice Model 15XV Electric Knife Sharpener: a Review with Quantitative Data,"Mar 11, 2024",5138,430.5866,13,43.488,46991,3.8
35BTWpaihkI,Eigenvalues and Modes of Linear Systems,"Jan 31, 2022",5137,400.5697,26,27.314,97646,1.74
ur7z_sOD3WI,DIY Rooftop Kayak Carrier,"Aug 31, 2020",5083,201.8751,12,33.847,90581,1.91
E7JSeQEjvnY,A Comprehensive Guide to Launching a High-Altitude Balloon,"Feb 6, 2023",5057,671.7421,60,34.145,72306,2.22
QexBVGVM690,The Jacobian Matrix,"Feb 5, 2024",5025,497.877,115,12.984,84775,3.24
KMLlDWxgiGY,Using STICK to Install CHDK,"Mar 21, 2022",5017,205.1329,14,12.796,93501,2.83
V3iveC_fa04,Introduction to Root Locus,"Apr 24, 2023",4945,368.8648,63,10.691,108593,2.76
y_-4NSeGMY0,San Diego Zoo Safari Park: Balloon Safari,"Feb 24, 2020",4941,164.2295,6,32.014,78233,2.76
R1XY9DLIpzQ,"The Creality CR-10 Mini 3D Printer: Unboxing, Assembly, and Review","Jan 31, 2020",4930,656.4374,53,53.244,81236,3.04
lGI2FXDq4XE,Using Check Boxes and Radio Buttons in Simulink Masked Blocks,"Jun 5, 2019",4773,178.4092,18,16.202,94319,1.51
